Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
7/1/15,"1,540",0,0,0,"1,440",0,0,0,0
7/2/15,"1,540",0,0,0,"1,440",0,0,0,0
7/3/15,"1,540",0,0,0,"1,440",0,0,0,0
7/4/15,"1,540",0,0,0,"1,440",0,0,0,0
7/5/15,"1,540",0,0,0,"1,440",0,0,0,0
7/6/15,"1,946","4,396",1.86,10,"1,303",125,2,10,516
7/7/15,"2,896","18,250",8.43,21,705,233,11,69,"1,646"
7/8/15,"2,302","9,635",4.17,19,680,216,5,1,955
7/9/15,"2,387","11,720",4.96,19,751,151,25,54,"1,055"
7/10/15,"1,976","4,450",1.88,13,787,160,0,0,557
7/11/15,"2,759","17,628",7.46,69,"1,099",193,77,71,"1,561"
7/12/15,"2,280","8,996",4.3,3,779,130,12,45,909
7/13/15,"2,420","11,577",5.07,37,816,202,15,37,"1,121"
7/14/15,"1,922","4,831",2.04,13,717,135,5,0,526
7/15/15,"2,422","12,201",5.74,28,712,180,4,42,"1,122"
7/16/15,"2,124","7,109",3.01,16,752,220,2,10,826
7/17/15,"2,449","13,509",5.73,18,814,213,30,38,"1,199"
7/18/15,"2,098","7,561",3.2,13,664,185,8,7,772
7/19/15,"2,225","8,839",4.2,10,703,164,6,38,910
7/20/15,"2,185","9,281",4.12,16,629,166,11,22,866
7/21/15,"2,444","13,814",6.23,22,744,163,19,53,"1,166"
7/22/15,"2,109","8,601",3.64,25,740,154,7,25,783
7/23/15,"2,139","9,332",3.95,13,774,127,21,36,808
7/24/15,"2,232","10,619",4.49,17,731,170,13,34,938
7/25/15,"2,156","8,308",3.61,17,816,194,14,19,862
7/26/15,"2,416","13,255",5.61,9,639,181,32,62,"1,177"
7/27/15,"2,536","15,446",6.54,15,705,178,62,57,"1,321"
7/28/15,"2,256","9,012",3.81,24,722,286,12,5,"1,043"
7/29/15,"2,103","7,690",3.25,17,700,214,4,4,809
7/30/15,"2,299","11,430",4.84,13,720,159,53,40,"1,038"
7/31/15,"2,241","10,013",4.24,19,733,218,9,23,975
,,,,,,,,,
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,,,,
7/1/15,0,0,0,0,,,,,
7/2/15,0,0,0,0,,,,,
7/3/15,0,0,0,0,,,,,
7/4/15,0,0,0,0,,,,,
7/5/15,0,0,0,0,,,,,
7/6/15,0,0,0,0,,,,,
7/7/15,384,30,0,414,,,,,
7/8/15,493,33,1,546,,,,,
7/9/15,384,49,1,433,,,,,
7/10/15,471,48,1,519,,,,,
7/11/15,0,0,0,0,,,,,
7/12/15,432,42,0,474,,,,,
7/13/15,335,17,1,370,,,,,
7/14/15,541,39,1,583,,,,,
7/15/15,472,22,1,502,,,,,
7/16/15,418,20,1,456,,,,,
7/17/15,328,15,0,345,,,,,
7/18/15,538,22,1,576,,,,,
7/19/15,488,40,1,529,,,,,
7/20/15,508,42,3,586,,,,,
7/21/15,392,46,1,464,,,,,
7/22/15,523,14,0,537,,,,,
7/23/15,426,38,0,477,,,,,
7/24/15,481,15,0,497,,,,,
7/25/15,343,15,1,368,,,,,
7/26/15,523,18,2,555,,,,,
7/27/15,399,23,1,438,,,,,
7/28/15,379,18,1,415,,,,,
7/29/15,482,27,1,518,,,,,
7/30/15,401,45,1,468,,,,,
7/31/15,428,16,1,457,,,,,
