Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
8/1/15,"2,325","11,926",5.05,10,661,167,37,41,"1,059"
8/2/15,"2,612","16,912",7.16,11,733,151,15,106,"1,364"
8/3/15,"2,220","9,911",4.19,20,729,189,5,30,927
8/4/15,"2,164","9,248",3.91,18,771,170,7,28,854
8/5/15,"2,149","8,843",3.76,21,701,174,15,23,845
8/6/15,"2,226","9,667",4.09,20,715,227,2,23,967
8/7/15,"2,347","11,971",5.07,22,753,187,38,40,"1,091"
8/8/15,"2,359","11,749",4.97,13,796,198,15,58,"1,112"
8/9/15,"2,466","13,652",5.78,22,637,215,17,60,"1,243"
8/10/15,"2,189","8,537",3.61,21,764,248,3,5,925
8/11/15,"2,346","11,167",4.73,19,683,276,8,16,"1,133"
8/12/15,"2,316","11,668",4.94,17,708,200,22,35,"1,065"
8/13/15,"2,025","6,876",2.91,17,761,180,10,3,709
8/14/15,"2,324","11,459",4.85,28,660,223,24,28,"1,086"
8/15/15,"2,267","11,083",4.69,59,807,142,14,67,977
8/16/15,"2,026","6,530",3.04,4,760,129,7,24,672
8/17/15,"2,201","9,792",4.14,16,739,202,15,16,927
8/18/15,"2,248","10,324",4.37,16,687,191,25,32,985
8/19/15,"2,249","10,604",4.49,18,673,174,16,38,964
8/20/15,"2,650","17,190",7.29,22,631,248,30,59,"1,481"
8/21/15,"2,389","12,911",5.56,17,759,191,10,55,"1,137"
8/22/15,"2,101","8,159",3.45,21,635,130,45,30,797
8/23/15,"1,991","5,648",2.53,4,749,163,3,14,657
8/24/15,"2,253","11,007",4.75,36,742,140,21,49,949
8/25/15,"2,319","11,878",5.04,26,768,177,34,34,"1,045"
8/26/15,"1,993","6,029",2.55,10,746,158,5,17,655
8/27/15,"2,384","12,814",5.42,25,728,177,21,60,"1,129"
8/28/15,"2,207","10,025",4.24,25,778,154,18,30,848
8/29/15,"2,170","7,187",3.04,11,712,280,14,1,938
8/30/15,"1,961","4,917",2.08,11,639,193,5,4,649
8/31/15,"2,423","13,126",5.55,22,732,223,30,36,"1,198"
,,,,,,,,,
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,,,,
8/1/15,493,27,0,534,,,,,
8/2/15,407,19,1,435,,,,,
8/3/15,447,31,1,487,,,,,
8/4/15,442,21,0,464,,,,,
8/5/15,499,28,0,527,,,,,
8/6/15,456,11,0,473,,,,,
8/7/15,402,13,0,422,,,,,
8/8/15,360,9,1,373,,,,,
8/9/15,495,14,0,511,,,,,
8/10/15,394,15,0,420,,,,,
8/11/15,387,50,0,457,,,,,
8/12/15,435,26,0,475,,,,,
8/13/15,443,26,1,478,,,,,
8/14/15,467,39,0,513,,,,,
8/15/15,361,34,1,410,,,,,
8/16/15,448,51,0,520,,,,,
8/17/15,396,41,1,450,,,,,
8/18/15,504,12,0,523,,,,,
8/19/15,490,32,1,529,,,,,
8/20/15,419,12,0,435,,,,,
8/21/15,448,12,1,470,,,,,
8/22/15,572,16,0,600,,,,,
8/23/15,441,35,0,489,,,,,
8/24/15,416,37,0,456,,,,,
8/25/15,440,26,0,481,,,,,
8/26/15,480,18,0,505,,,,,
8/27/15,428,19,0,463,,,,,
8/28/15,436,22,0,460,,,,,
8/29/15,398,32,1,433,,,,,
8/30/15,506,22,1,556,,,,,
8/31/15,397,46,0,457,,,,,
