Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
9/1/15,"2,156","8,330",3.52,14,775,208,16,18,879
9/2/15,"2,385","12,709",5.38,23,589,207,23,39,"1,143"
9/3/15,"2,350","12,057",5.18,19,763,202,20,35,"1,092"
9/4/15,"2,349","11,512",4.87,25,666,258,25,9,"1,130"
9/5/15,"2,622","16,259",6.88,56,610,259,53,46,"1,477"
9/6/15,"2,578","15,370",7.16,12,596,169,36,65,"1,346"
9/7/15,"2,174","9,515",4.03,56,814,134,27,46,866
9/8/15,"2,035","7,084",3,15,760,165,9,9,700
9/9/15,"2,164","9,190",3.89,17,779,181,3,21,847
9/10/15,"2,195","9,715",4.11,19,727,180,13,26,899
9/11/15,"2,515","14,794",6.64,17,670,173,14,66,"1,255"
9/12/15,"2,611","16,800",7.11,119,555,146,101,69,"1,414"
9/13/15,"2,563","15,048",7.03,56,629,164,42,59,"1,322"
9/14/15,"2,501","13,926",6.42,58,630,215,6,38,"1,248"
9/15/15,"2,311","11,482",4.86,17,671,203,14,29,"1,043"
9/16/15,"2,620","16,752",7.61,87,674,165,18,70,"1,359"
9/17/15,"2,267","11,005",4.66,20,697,191,10,31,989
9/18/15,"2,949","20,109",9.29,34,747,203,39,75,"1,628"
9/19/15,"2,933","22,769",9.63,13,554,178,47,133,"1,788"
9/20/15,"3,087","23,613",10.93,8,552,184,37,136,"1,941"
9/21/15,"2,569","16,342",6.93,22,614,179,71,56,"1,372"
9/22/15,"2,006","6,458",2.73,16,757,180,0,0,670
9/23/15,"2,364","11,595",5.34,18,633,176,33,41,"1,104"
9/24/15,"2,153","8,837",3.74,22,742,189,7,16,844
9/25/15,"2,592","15,594",6.68,21,630,254,33,48,"1,417"
9/26/15,"2,478","13,138",6.12,40,633,212,34,34,"1,252"
9/27/15,"2,417","11,978",5.7,74,576,202,6,45,"1,156"
9/28/15,"2,355","11,958",5.06,17,676,203,12,43,"1,096"
9/29/15,"2,438","13,723",5.96,37,671,189,22,43,"1,177"
9/30/15,"2,099","7,878",3.35,20,711,192,2,9,784
,,,,,,,,,
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,,,,
9/1/15,390,36,0,428,,,,,
9/2/15,505,17,0,538,,,,,
9/3/15,421,29,0,464,,,,,
9/4/15,443,32,0,482,,,,,
9/5/15,431,15,2,472,,,,,
9/6/15,551,17,1,574,,,,,
9/7/15,354,43,3,399,,,,,
9/8/15,487,29,0,517,,,,,
9/9/15,397,38,2,456,,,,,
9/10/15,398,39,0,448,,,,,
9/11/15,505,41,0,562,,,,,
9/12/15,492,72,1,569,,,,,
9/13/15,492,16,0,513,,,,,
9/14/15,537,43,2,582,,,,,
9/15/15,440,29,0,477,,,,,
9/16/15,480,72,3,554,,,,,
9/17/15,473,28,3,516,,,,,
9/18/15,332,14,0,346,,,,,
9/19/15,519,38,1,558,,,,,
9/20/15,484,19,1,503,,,,,
9/21/15,421,29,2,450,,,,,
9/22/15,578,23,0,601,,,,,
9/23/15,480,44,0,524,,,,,
9/24/15,470,49,0,519,,,,,
9/25/15,429,46,0,475,,,,,
9/26/15,511,16,0,527,,,,,
9/27/15,549,44,0,594,,,,,
9/28/15,440,55,0,495,,,,,
9/29/15,474,35,1,510,,,,,
9/30/15,493,44,0,537,,,,,
