Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
10/1/15,"2,637","16,116",6.85,35,772,264,38,44,"1,461"
10/2/15,"2,068","6,863",2.9,24,711,214,0,0,764
10/3/15,"2,474","12,619",6.15,46,690,217,3,46,"1,237"
10/4/15,"2,929","20,085",9.77,64,571,182,28,99,"1,729"
10/5/15,"2,428","13,746",5.82,29,678,174,36,56,"1,182"
10/6/15,"2,546","15,100",6.62,45,687,237,21,40,"1,332"
10/7/15,"2,717","18,226",8.07,29,611,208,12,82,"1,513"
10/8/15,"2,201","9,802",4.15,17,738,211,3,8,907
10/9/15,"2,135","8,677",3.67,22,847,174,3,15,802
10/10/15,"2,544","14,931",6.32,28,614,198,81,57,"1,368"
10/11/15,"2,238","9,464",4,13,864,216,16,24,967
10/12/15,"2,258","9,791",4.58,33,642,167,5,40,953
10/13/15,"2,230","10,468",4.43,30,718,196,7,21,937
10/14/15,"1,872","5,369",2.28,7,"1,319",91,10,20,496
10/15/15,"1,976","5,536",2.34,15,744,184,0,0,630
10/16/15,"2,952","22,175",9.48,26,617,224,53,96,"1,809"
10/17/15,"2,885","18,970",8.49,24,413,332,12,74,"1,797"
10/18/15,"2,432","13,205",5.66,25,701,206,17,47,"1,188"
10/19/15,"2,450","13,958",5.91,29,630,192,17,54,"1,194"
10/20/15,"2,663","17,022",7.42,35,704,205,18,77,"1,447"
10/21/15,"2,477","14,083",6.06,29,591,200,45,48,"1,262"
10/22/15,"2,331","11,427",4.84,23,721,262,17,6,"1,101"
10/23/15,"2,512","13,657",5.78,37,626,286,31,26,"1,334"
10/24/15,"2,000","5,131",2.17,6,846,205,11,3,692
10/25/15,"2,147","8,264",3.5,27,540,207,22,10,874
10/26/15,"2,305","10,327",4.39,25,616,265,14,14,"1,087"
10/27/15,"2,500","13,819",5.94,23,607,262,27,35,"1,315"
10/28/15,"2,264","10,534",4.46,24,695,223,17,19,"1,010"
10/29/15,"2,043","6,642",2.81,19,"1,240",192,2,6,720
10/30/15,"2,208","9,148",3.87,23,735,248,4,5,946
10/31/15,"2,211","7,676",3.25,7,620,336,0,0,"1,052"
,,,,,,,,,
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,,,,
10/1/15,283,49,3,332,,,,,
10/2/15,505,20,0,525,,,,,
10/3/15,458,26,1,484,,,,,
10/4/15,466,26,1,492,,,,,
10/5/15,481,83,1,564,,,,,
10/6/15,423,32,0,455,,,,,
10/7/15,498,29,2,527,,,,,
10/8/15,437,43,1,480,,,,,
10/9/15,327,74,0,401,,,,,
10/10/15,462,27,1,490,,,,,
10/11/15,296,23,1,320,,,,,
10/12/15,548,32,0,580,,,,,
10/13/15,485,19,0,504,,,,,
10/14/15,0,0,0,0,,,,,
10/15/15,469,43,2,512,,,,,
10/16/15,423,25,0,450,,,,,
10/17/15,585,24,0,609,,,,,
10/18/15,438,20,1,459,,,,,
10/19/15,479,32,0,511,,,,,
10/20/15,436,21,0,457,,,,,
10/21/15,546,29,1,576,,,,,
10/22/15,408,30,0,438,,,,,
10/23/15,448,23,0,471,,,,,
10/24/15,360,15,1,375,,,,,
10/25/15,577,58,0,635,,,,,
10/26/15,519,21,0,540,,,,,
10/27/15,500,26,1,526,,,,,
10/28/15,448,38,0,486,,,,,
10/29/15,0,0,0,0,,,,,
10/30/15,410,38,0,448,,,,,
10/31/15,461,23,1,484,,,,,
