Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
11/1/15,"1,512",145,0.06,0,"1,402",12,0,0,33
11/2/15,"2,379","11,572",4.98,15,783,269,14,21,"1,155"
11/3/15,"2,213","7,905",3.35,10,595,254,8,0,903
11/4/15,"2,152","8,096",3.43,13,560,259,7,1,911
11/5/15,"2,333","11,400",5.02,31,613,231,12,22,"1,090"
11/6/15,"2,216","7,955",3.37,10,611,245,0,0,877
11/7/15,"1,496","5,572",2.36,10,921,4,0,0,11
11/8/15,"1,486",0,0,0,"1,440",0,0,0,0
11/9/15,"1,930","5,631",2.38,8,"1,288",137,3,12,579
11/10/15,"2,173","8,138",3.44,20,682,264,6,1,935
11/11/15,"2,543","14,448",6.11,37,571,288,42,28,"1,393"
11/12/15,"2,194","9,231",3.91,24,773,211,9,20,923
11/13/15,"2,061","6,638",2.81,36,737,193,2,10,734
11/14/15,"2,603","15,383",6.51,50,689,241,24,68,"1,414"
11/15/15,"2,149","6,907",2.92,17,699,247,7,19,902
11/16/15,"2,094","7,901",3.34,23,722,206,13,2,807
11/17/15,"2,148","8,421",3.56,24,802,210,11,9,865
11/18/15,"2,159","8,834",3.74,26,670,200,19,13,882
11/19/15,"2,281","10,376",4.39,19,634,235,37,12,"1,058"
11/20/15,"2,495","13,745",5.82,28,786,271,14,33,"1,294"
11/21/15,"2,024","6,024",2.55,11,694,175,4,21,710
11/22/15,"2,746","18,829",7.97,17,560,163,91,93,"1,578"
11/23/15,"2,378","12,557",5.31,37,785,218,14,38,"1,136"
11/24/15,"2,221","9,870",4.18,28,707,195,10,34,946
11/25/15,"2,091","10,397",4.4,23,965,85,2,10,385
11/26/15,"1,867","4,464",1.89,4,764,128,3,11,510
11/27/15,"2,597","15,727",7.15,33,637,228,51,38,"1,418"
11/28/15,"2,231","9,862",4.75,29,739,145,4,39,920
11/29/15,"2,675","15,992",7.27,40,528,267,45,51,"1,538"
11/30/15,"2,330","11,020",4.66,32,616,250,40,11,"1,116"
,,,,,,,,,
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,,,,
11/1/15,0,0,0,0,,,,,
11/2/15,349,29,2,379,,,,,
11/3/15,474,38,1,512,,,,,
11/4/15,599,33,1,634,,,,,
11/5/15,575,34,0,612,,,,,
11/6/15,515,34,1,549,,,,,
11/7/15,527,22,2,550,,,,,
11/8/15,0,0,0,0,,,,,
11/9/15,0,0,0,0,,,,,
11/10/15,435,23,1,458,,,,,
11/11/15,507,33,3,540,,,,,
11/12/15,290,24,1,314,,,,,
11/13/15,575,36,1,611,,,,,
11/14/15,403,14,2,418,,,,,
11/15/15,356,25,0,381,,,,,
11/16/15,555,29,2,584,,,,,
11/17/15,368,40,1,408,,,,,
11/18/15,507,22,1,529,,,,,
11/19/15,514,17,0,531,,,,,
11/20/15,320,4,0,324,,,,,
11/21/15,527,29,2,558,,,,,
11/22/15,505,28,1,533,,,,,
11/23/15,322,16,0,338,,,,,
11/24/15,511,29,1,540,,,,,
11/25/15,360,18,2,378,,,,,
11/26/15,511,20,1,534,,,,,
11/27/15,465,21,1,486,,,,,
11/28/15,489,17,1,513,,,,,
11/29/15,519,23,2,549,,,,,
11/30/15,456,24,1,480,,,,,
