Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
12/1/15,"2,770","18,252",7.74,33,562,283,23,73,"1,641"
12/2/15,"2,540","14,548",6.4,43,577,250,26,41,"1,349"
12/3/15,"2,289","10,276",4.35,24,842,249,9,19,"1,049"
12/4/15,"3,066","22,337",10.01,37,459,324,71,71,"2,039"
12/5/15,"1,504",240,0.1,6,"1,433",7,0,0,25
12/6/15,"1,740","3,752",1.59,8,"1,351",52,1,14,314
12/7/15,"2,557","15,662",6.91,31,676,188,19,69,"1,324"
12/8/15,"2,449","12,526",5.47,24,672,302,4,13,"1,251"
12/9/15,"2,180","8,763",3.71,22,762,203,19,22,910
12/10/15,"2,423","13,510",5.72,32,676,204,18,47,"1,181"
12/11/15,"2,601","14,680",6.21,27,572,310,36,41,"1,473"
12/12/15,"2,962","21,182",9.77,33,548,237,56,82,"1,842"
12/13/15,"1,485",0,0,0,"1,440",0,0,0,0
12/14/15,"1,485",0,0,0,"1,440",0,0,0,0
12/15/15,"1,510",288,0.12,0,"1,433",7,0,0,26
12/16/15,"2,032","6,227",2.64,18,721,204,0,0,714
12/17/15,"2,514","13,890",6.16,32,633,237,14,49,"1,293"
12/18/15,"2,209","9,147",3.94,26,870,205,14,23,927
12/19/15,"2,231","9,836",4.22,37,667,179,7,34,935
12/20/15,"2,573","14,761",6.76,38,637,197,20,66,"1,345"
12/21/15,"2,877","20,056",8.84,48,728,228,51,94,"1,736"
12/22/15,"2,320","10,856",4.67,27,682,230,16,30,"1,078"
12/23/15,"2,167","8,708",3.69,8,668,187,7,36,886
12/24/15,"2,123","7,703",3.26,12,725,189,11,23,824
12/25/15,"1,968","4,623",1.96,13,662,212,6,0,667
12/26/15,"2,001","5,917",2.58,16,706,165,20,10,686
12/27/15,"2,030","6,192",2.65,8,680,219,0,0,735
12/28/15,"2,326","11,367",5.01,17,703,198,15,33,"1,057"
12/29/15,"2,114","7,988",3.38,22,743,193,2,17,808
12/30/15,"2,255","10,631",4.83,33,698,155,14,37,951
12/31/15,"2,324","10,789",4.57,102,696,275,9,9,"1,097"
,,,,,,,,,
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,,,,
12/1/15,510,30,1,541,,,,,
12/2/15,509,38,1,547,,,,,
12/3/15,306,12,0,318,,,,,
12/4/15,498,19,1,517,,,,,
12/5/15,0,0,0,0,,,,,
12/6/15,0,0,0,0,,,,,
12/7/15,491,19,1,510,,,,,
12/8/15,425,24,1,449,,,,,
12/9/15,422,12,3,434,,,,,
12/10/15,462,31,1,494,,,,,
12/11/15,462,20,0,482,,,,,
12/12/15,497,20,2,517,,,,,
12/13/15,0,0,0,0,,,,,
12/14/15,0,0,0,0,,,,,
12/15/15,0,0,0,0,,,,,
12/16/15,434,45,5,479,,,,,
12/17/15,490,48,1,543,,,,,
12/18/15,324,4,0,328,,,,,
12/19/15,538,15,0,553,,,,,
12/20/15,489,31,2,520,,,,,
12/21/15,322,17,2,339,,,,,
12/22/15,455,27,3,482,,,,,
12/23/15,460,32,1,496,,,,,
12/24/15,517,21,0,538,,,,,
12/25/15,516,44,2,560,,,,,
12/26/15,515,23,0,539,,,,,
12/27/15,519,20,0,541,,,,,
12/28/15,469,22,1,491,,,,,
12/29/15,466,19,0,485,,,,,
12/30/15,507,28,1,536,,,,,
12/31/15,413,38,0,451,,,,,
