Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
1/1/16,"2,329","11,502",4.87,33,804,212,13,35,"1,078"
1/2/16,"2,419","12,411",5.78,33,597,165,14,63,"1,156"
1/3/16,"2,064","7,118",3.01,44,653,178,6,16,753
1/4/16,"2,126","8,270",3.55,23,766,179,5,25,827
1/5/16,"2,026","6,859",2.9,23,740,184,0,0,697
1/6/16,"2,280","10,376",4.39,31,636,275,8,6,"1,065"
1/7/16,"2,118","7,842",3.32,22,766,192,17,13,821
1/8/16,"2,485","13,458",5.69,40,830,279,7,32,"1,286"
1/9/16,"1,993","6,591",2.8,17,807,139,2,26,656
1/10/16,"1,486",0,0,0,"1,440",0,0,0,0
1/11/16,"1,485",0,0,0,"1,440",0,0,0,0
1/12/16,"2,084","7,614",3.22,27,"1,232",196,1,11,783
1/13/16,"2,248","9,777",4.18,35,772,236,18,15,"1,006"
1/14/16,"2,163","8,507",3.6,22,701,230,9,7,899
1/15/16,"2,497","14,574",6.17,62,730,189,84,41,"1,305"
1/16/16,"2,352","11,122",4.71,19,575,247,17,42,"1,148"
1/17/16,"2,353","11,888",5.03,32,564,221,35,31,"1,140"
1/18/16,"2,154","8,587",3.68,34,628,197,23,13,884
1/19/16,"2,154","7,472",3.31,22,672,244,4,7,897
1/20/16,"2,197","9,569",4.1,27,831,165,11,38,899
1/21/16,"2,183","9,683",4.13,28,196,185,6,21,886
1/22/16,"2,278","10,703",4.61,23,725,184,22,37,"1,009"
1/23/16,"1,687","1,838",0.78,7,950,90,0,0,275
1/24/16,"1,485",0,0,0,"1,440",0,0,0,0
1/25/16,"1,487",0,0,0,"1,440",0,0,0,0
1/26/16,"1,486",0,0,0,"1,440",0,0,0,0
1/27/16,"1,486",0,0,0,"1,440",0,0,0,0
1/28/16,"1,486",0,0,0,"1,440",0,0,0,0
1/29/16,"1,486",0,0,0,"1,440",0,0,0,0
1/30/16,"1,697","1,785",0.76,4,"1,319",105,0,0,306
1/31/16,"1,989","4,977",2.11,13,699,213,0,0,686
,,,,,,,,,
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,,,,
1/1/16,355,17,1,376,,,,,
1/2/16,538,53,2,591,,,,,
1/3/16,552,43,1,595,,,,,
1/4/16,406,46,1,452,,,,,
1/5/16,501,14,0,515,,,,,
1/6/16,506,25,0,531,,,,,
1/7/16,430,22,0,452,,,,,
1/8/16,288,4,0,292,,,,,
1/9/16,451,15,1,466,,,,,
1/10/16,0,0,0,0,,,,,
1/11/16,0,0,0,0,,,,,
1/12/16,0,0,0,0,,,,,
1/13/16,391,8,1,399,,,,,
1/14/16,467,26,0,493,,,,,
1/15/16,390,6,1,396,,,,,
1/16/16,521,38,4,559,,,,,
1/17/16,566,15,1,584,,,,,
1/18/16,556,20,1,576,,,,,
1/19/16,502,19,1,521,,,,,
1/20/16,375,20,0,395,,,,,
1/21/16,429,19,0,448,,,,,
1/22/16,640,55,36,"1,055",,,,,
1/23/16,391,9,0,400,,,,,
1/24/16,0,0,0,0,,,,,
1/25/16,0,0,0,0,,,,,
1/26/16,0,0,0,0,,,,,
1/27/16,0,0,0,0,,,,,
1/28/16,0,0,0,0,,,,,
1/29/16,0,0,0,0,,,,,
1/30/16,0,0,0,0,,,,,
1/31/16,477,38,1,515,,,,,
