Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2/1/16,"1,498",22,0.01,0,978,4,0,0,10
2/2/16,"2,175","8,621",3.71,16,"1,440",0,0,0,0
2/3/16,"2,024","6,290",2.66,21,851,195,5,4,708
2/4/16,"2,023","7,431",3.14,19,587,120,15,27,675
2/5/16,"2,174","9,428",3.99,24,933,182,20,26,897
2/6/16,"2,663","16,963",7.18,25,593,218,26,87,"1,484"
2/7/16,"2,101","7,394",3.13,20,797,213,2,13,820
2/8/16,"2,089","8,269",3.51,20,"1,263",145,6,26,761
2/9/16,"1,858","4,235",1.79,18,510,144,5,2,506
2/10/16,"1,982","6,182",2.62,26,"1,078",183,7,2,676
2/11/16,"2,128","8,349",3.63,32,583,204,7,10,849
2/12/16,"2,320","11,381",4.82,26,993,231,16,31,"1,095"
2/13/16,"3,446","27,767",11.75,151,522,207,122,124,"2,124"
2/14/16,"2,507","14,959",6.33,20,697,164,21,90,"1,271"
2/15/16,"1,789","3,929",1.67,7,853,118,0,0,414
2/16/16,"2,579","16,325",6.91,12,756,189,43,79,"1,388"
2/17/16,"1,616","1,813",0.77,4,"1,117",31,2,9,172
2/18/16,"1,481",0,0,0,"1,440",0,0,0,0
2/19/16,"1,481",0,0,0,"1,440",0,0,0,0
2/20/16,"1,481",0,0,0,"1,440",0,0,0,0
2/21/16,"1,481",0,0,0,"1,440",0,0,0,0
2/22/16,"2,157","8,134",3.44,22,"1,190",213,11,16,867
2/23/16,"2,080","7,420",3.14,50,780,223,0,0,796
2/24/16,"1,988","6,212",2.65,24,784,175,0,0,649
2/25/16,"2,130","7,545",3.19,19,845,251,0,0,861
2/26/16,"2,220","9,367",3.96,22,702,238,4,11,956
2/27/16,"2,377","13,156",5.57,23,616,160,22,62,"1,118"
2/28/16,"2,399","13,897",5.88,73,616,128,42,78,"1,152"
2/29/16,"2,233","9,733",4.12,24,718,222,16,20,979
,,,,,,,,,
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,,,,
2/1/16,435,51,3,486,,,,,
2/2/16,0,0,0,0,,,,,
2/3/16,368,17,1,385,,,,,
2/4/16,378,18,1,396,,,,,
2/5/16,496,20,1,516,,,,,
2/6/16,540,34,0,574,,,,,
2/7/16,382,31,1,415,,,,,
2/8/16,0,0,0,0,,,,,
2/9/16,411,10,1,421,,,,,
2/10/16,516,12,1,528,,,,,
2/11/16,414,10,0,424,,,,,
2/12/16,366,15,1,381,,,,,
2/13/16,410,27,1,437,,,,,
2/14/16,474,21,0,496,,,,,
2/15/16,435,34,1,469,,,,,
2/16/16,316,47,1,363,,,,,
2/17/16,269,22,0,291,,,,,
2/18/16,0,0,0,0,,,,,
2/19/16,0,0,0,0,,,,,
2/20/16,0,0,0,0,,,,,
2/21/16,0,0,0,0,,,,,
2/22/16,0,0,0,0,,,,,
2/23/16,424,23,1,447,,,,,
2/24/16,457,24,0,481,,,,,
2/25/16,334,9,1,344,,,,,
2/26/16,462,23,1,485,,,,,
2/27/16,573,7,0,580,,,,,
2/28/16,534,15,1,552,,,,,
2/29/16,438,42,0,480,,,,,
