Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
3/1/16,"2,070","6,884",2.91,15,711,231,0,0,791
3/2/16,"2,367","12,014",5.08,62,653,240,11,34,"1,141"
3/3/16,"2,273","10,224",4.34,21,811,230,2,24,"1,014"
3/4/16,"2,086","8,197",3.47,32,755,149,12,29,765
3/5/16,"2,408","12,064",5.49,19,782,211,8,43,"1,152"
3/6/16,"1,981","6,711",2.84,5,734,114,9,25,623
3/7/16,"2,266","10,494",4.44,27,689,226,39,10,"1,032"
3/8/16,"2,789","18,048",7.64,39,514,300,69,69,"1,727"
3/9/16,"2,392","12,759",5.4,49,657,192,19,54,"1,144"
3/10/16,"2,339","12,113",5.13,14,642,196,11,47,"1,087"
3/11/16,"2,050","7,840",3.32,24,755,164,6,12,727
3/12/16,"2,472","13,814",5.85,10,749,220,19,47,"1,236"
3/13/16,"2,436","13,205",5.59,27,692,204,30,59,"1,217"
3/14/16,"1,992","5,727",2.42,19,769,194,0,0,667
3/15/16,"2,094","7,706",3.26,18,827,191,0,16,784
3/16/16,"2,249","10,710",4.53,17,678,183,10,44,978
3/17/16,"2,285","10,767",4.59,23,662,205,25,31,"1,031"
3/18/16,"2,552","14,631",6.28,26,684,265,20,42,"1,364"
3/19/16,"2,155","9,585",4.06,25,903,115,21,54,838
3/20/16,"2,787","20,327",8.6,57,405,167,39,114,"1,608"
3/21/16,"3,424","28,898",12.23,43,744,240,83,155,"2,316"
3/22/16,"2,982","23,019",9.74,14,468,199,58,135,"1,874"
3/23/16,"3,160","24,880",11.25,31,501,228,30,134,"2,055"
3/24/16,"2,910","22,186",9.39,36,477,186,58,120,"1,773"
3/25/16,"2,505","13,746",5.82,40,664,260,25,51,"1,327"
3/26/16,"2,294","11,324",4.79,44,676,156,32,55,"1,027"
3/27/16,"2,780","13,195",5.58,56,680,137,20,66,999
3/28/16,"2,193","9,034",3.82,30,725,255,9,0,947
3/29/16,"2,490","13,216",5.59,28,652,286,19,37,"1,315"
3/30/16,"2,592","14,166",6.33,31,687,327,10,28,"1,444"
3/31/16,"2,606","15,817",6.69,22,602,267,21,55,"1,441"
,,,,,,,,,
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,,,,
3/1/16,460,17,0,477,,,,,
3/2/16,504,27,0,531,,,,,
3/3/16,348,23,1,371,,,,,
3/4/16,476,21,1,497,,,,,
3/5/16,368,28,0,396,,,,,
3/6/16,449,47,2,496,,,,,
3/7/16,519,19,1,538,,,,,
3/8/16,432,48,0,480,,,,,
3/9/16,423,31,2,454,,,,,
3/10/16,532,50,2,582,,,,,
3/11/16,492,45,1,537,,,,,
3/12/16,373,11,0,384,,,,,
3/13/16,455,20,1,475,,,,,
3/14/16,456,21,2,477,,,,,
3/15/16,384,22,1,406,,,,,
3/16/16,424,14,1,438,,,,,
3/17/16,568,36,0,604,,,,,
3/18/16,383,43,2,429,,,,,
3/19/16,182,12,3,194,,,,,
3/20/16,843,24,1,868,,,,,
3/21/16,206,12,1,218,,,,,
3/22/16,561,19,1,580,,,,,
3/23/16,527,20,1,547,,,,,
3/24/16,557,42,0,599,,,,,
3/25/16,406,34,7,440,,,,,
3/26/16,472,49,4,521,,,,,
3/27/16,449,33,2,482,,,,,
3/28/16,451,29,0,480,,,,,
3/29/16,437,34,0,471,,,,,
3/30/16,370,12,1,382,,,,,
3/31/16,485,15,0,500,,,,,
