Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
4/1/16,"2,512","13,384",5.66,43,576,316,19,30,"1,365"
4/2/16,"2,568","14,935",6.32,30,557,261,23,59,"1,406"
4/3/16,"2,318","10,409",4.4,46,571,294,9,6,"1,120"
4/4/16,"2,570","14,572",6.17,39,625,299,23,43,"1,429"
4/5/16,"2,725","17,350",7.34,102,620,309,33,53,"1,612"
4/6/16,"2,562","15,071",6.5,34,702,257,5,53,"1,368"
4/7/16,"2,513","14,560",6.16,47,572,247,27,39,"1,314"
4/8/16,"2,687","16,096",6.93,31,635,314,15,49,"1,550"
4/9/16,"1,979","13,080",5.55,42,886,69,17,45,615
4/10/16,"1,490",64,0.03,0,"1,424",4,0,0,12
4/11/16,"2,450","12,148",5.14,25,576,273,35,37,"1,287"
4/12/16,"3,041","23,482",9.95,42,564,281,39,105,"1,969"
4/13/16,"2,738","17,976",7.71,20,541,262,45,65,"1,609"
4/14/16,"2,607","15,237",6.45,69,603,285,21,59,"1,464"
4/15/16,"2,849","18,556",8.28,46,679,294,6,78,"1,704"
4/16/16,"3,084","22,889",9.72,80,561,304,68,101,"2,040"
4/17/16,"2,642","16,462",7.04,50,668,225,44,71,"1,471"
4/18/16,"1,816","3,260",1.38,3,713,144,0,0,449
4/19/16,"2,547","14,987",6.79,62,768,176,9,78,"1,300"
4/20/16,"2,471","14,635",6.3,68,628,172,35,58,"1,236"
4/21/16,"2,847","20,009",8.48,48,496,267,58,73,"1,741"
4/22/16,"2,954","19,947",8.75,30,470,358,25,71,"1,904"
4/23/16,"2,513","13,740",5.81,20,748,247,14,54,"1,304"
4/24/16,"2,570","16,386",6.93,31,619,175,21,80,"1,339"
4/25/16,"2,568","14,863",6.29,33,581,265,16,64,"1,407"
4/26/16,"2,810","18,913",8.09,66,555,311,27,66,"1,719"
4/27/16,"2,404","12,742",5.39,51,601,261,34,19,"1,217"
4/28/16,"3,081","24,356",10.31,49,557,207,56,147,"1,989"
4/29/16,"2,724","17,772",8.14,42,560,189,26,91,"1,532"
4/30/16,"3,520","32,227",13.66,113,527,184,26,235,"2,455"
,,,,,,,,,
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,,,,
4/1/16,463,36,0,499,,,,,
4/2/16,420,51,1,472,,,,,
4/3/16,520,35,2,559,,,,,
4/4/16,414,75,3,489,,,,,
4/5/16,428,26,1,454,,,,,
4/6/16,384,24,2,408,,,,,
4/7/16,513,18,0,534,,,,,
4/8/16,426,35,1,463,,,,,
4/9/16,418,5,1,423,,,,,
4/10/16,0,0,0,0,,,,,
4/11/16,455,76,2,531,,,,,
4/12/16,395,55,0,451,,,,,
4/13/16,484,42,3,527,,,,,
4/14/16,419,53,2,472,,,,,
4/15/16,361,22,2,383,,,,,
4/16/16,386,14,2,406,,,,,
4/17/16,344,26,3,370,,,,,
4/18/16,577,68,4,645,,,,,
4/19/16,331,32,1,363,,,,,
4/20/16,533,60,1,593,,,,,
4/21/16,467,63,2,530,,,,,
4/22/16,469,63,2,532,,,,,
4/23/16,358,18,1,377,,,,,
4/24/16,515,20,2,535,,,,,
4/25/16,474,49,1,524,,,,,
4/26/16,438,43,1,481,,,,,
4/27/16,469,37,1,506,,,,,
4/28/16,457,31,2,488,,,,,
4/29/16,468,37,3,505,,,,,
4/30/16,507,33,1,541,,,,,
