Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
5/1/16,"2,583","16,553",7,13,671,186,37,78,"1,384"
5/2/16,"2,352","12,101",5.12,21,782,223,27,24,"1,113"
5/3/16,"2,078","7,668",3.24,27,737,192,14,9,787
5/4/16,"2,568","16,095",7.16,68,765,157,9,82,"1,312"
5/5/16,"2,467","13,214",6.16,35,748,213,7,43,"1,221"
5/6/16,"2,730","18,073",7.82,52,675,231,46,77,"1,577"
5/7/16,"2,556","14,495",6.91,60,664,177,23,70,"1,327"
5/8/16,"2,251","10,440",4.75,25,727,175,8,32,964
5/9/16,"2,592","16,035",7.57,68,735,148,23,68,"1,328"
5/10/16,"2,316","11,939",5.05,28,768,158,31,52,"1,044"
5/11/16,"2,588","16,597",7.02,96,716,183,31,77,"1,375"
5/12/16,"2,762","18,526",8.53,86,666,193,20,83,"1,551"
5/13/16,"2,519","14,760",6.25,82,704,217,35,61,"1,322"
5/14/16,"2,802","20,141",8.52,127,552,204,60,99,"1,669"
5/15/16,"2,829","20,397",8.65,53,528,233,19,110,"1,694"
5/16/16,"2,584","15,839",6.91,45,678,214,55,50,"1,403"
5/17/16,"2,710","17,727",7.5,111,653,263,35,66,"1,563"
5/18/16,"2,766","19,608",8.3,57,621,168,56,112,"1,600"
5/19/16,"2,296","11,254",4.76,109,772,234,6,17,"1,047"
5/20/16,"2,529","14,947",6.32,47,799,210,27,65,"1,320"
5/21/16,"3,119","25,440",10.77,122,514,204,38,153,"2,012"
5/22/16,"2,004","6,094",2.58,11,733,201,0,0,703
5/23/16,"2,268","11,679",4.94,39,729,150,23,44,983
5/24/16,"2,333","12,526",5.36,65,711,154,13,60,"1,056"
5/25/16,"2,654","17,017",8.06,125,753,152,21,73,"1,397"
5/26/16,"2,824","19,631",8.95,116,677,197,34,86,"1,637"
5/27/16,"2,220","10,114",4.33,45,735,188,16,22,936
5/28/16,"2,793","20,154",8.53,147,537,194,60,102,"1,652"
5/29/16,"2,144","7,413",3.22,39,746,264,0,0,897
5/30/16,"2,566","15,624",7.44,71,713,143,11,70,"1,292"
5/31/16,"2,285","10,412",4.41,81,701,233,13,28,"1,049"
,,,,,,,,,
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,,,,
5/1/16,332,43,3,376,,,,,
5/2/16,456,14,0,470,,,,,
5/3/16,435,17,0,452,,,,,
5/4/16,450,16,0,466,,,,,
5/5/16,410,22,0,432,,,,,
5/6/16,397,13,1,411,,,,,
5/7/16,481,25,1,506,,,,,
5/8/16,477,21,0,498,,,,,
5/9/16,432,17,1,449,,,,,
5/10/16,432,15,1,448,,,,,
5/11/16,345,25,2,377,,,,,
5/12/16,474,35,2,509,,,,,
5/13/16,439,9,1,448,,,,,
5/14/16,497,28,3,525,,,,,
5/15/16,469,38,1,507,,,,,
5/16/16,449,32,1,481,,,,,
5/17/16,405,20,0,428,,,,,
5/18/16,407,22,2,429,,,,,
5/19/16,430,32,4,465,,,,,
5/20/16,294,26,2,320,,,,,
5/21/16,522,28,1,550,,,,,
5/22/16,449,28,2,477,,,,,
5/23/16,481,17,2,498,,,,,
5/24/16,444,37,1,489,,,,,
5/25/16,454,25,1,479,,,,,
5/26/16,422,14,1,436,,,,,
5/27/16,460,29,1,489,,,,,
5/28/16,517,30,2,547,,,,,
5/29/16,406,21,0,430,,,,,
5/30/16,466,22,1,488,,,,,
5/31/16,447,33,1,480,,,,,
