Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
6/1/16,"2,564","16,245",7.05,86,706,177,47,61,"1,342"
6/2/16,"2,325","11,478",4.86,124,708,252,6,17,"1,097"
6/3/16,"2,379","11,885",5.11,53,728,280,4,7,"1,158"
6/4/16,"2,121","8,426",3.57,32,628,188,12,18,832
6/5/16,"2,733","18,807",7.96,43,651,190,27,61,"1,205"
6/6/16,"1,503",149,0.06,2,"1,422",10,0,0,28
6/7/16,"2,319","11,962",5.16,24,715,198,7,32,"1,049"
6/8/16,"2,253","10,616",4.49,66,738,192,14,31,976
6/9/16,"2,181","9,409",4.04,66,728,211,6,7,892
6/10/16,"2,825","19,438",8.24,86,693,306,71,46,"1,748"
6/11/16,"2,500","13,853",5.86,47,637,263,14,40,"1,306"
6/12/16,"2,639","17,246",7.3,58,580,196,8,94,"1,431"
6/13/16,"2,140","9,201",3.89,48,796,179,9,12,829
6/14/16,"1,911","6,724",2.85,16,856,73,11,24,525
6/15/16,"2,374","13,013",5.51,39,728,178,38,43,"1,125"
6/16/16,"2,395","12,847",5.44,121,807,248,17,23,"1,176"
6/17/16,"1,486",30,0.01,0,947,2,0,0,5
6/18/16,"2,642","17,633",7.53,52,561,156,14,108,"1,422"
6/19/16,"2,686","17,173",7.28,37,629,238,40,74,"1,529"
6/20/16,"1,938","6,805",2.9,16,"1,322",82,5,31,565
6/21/16,"2,530","14,941",6.51,36,679,216,25,50,"1,311"
6/22/16,"2,399","11,866",5.13,24,695,280,5,23,"1,201"
6/23/16,"2,440","13,779",5.83,23,775,203,29,42,"1,159"
6/24/16,"3,236","29,681",13.26,152,"1,088",145,35,172,"2,102"
6/25/16,"2,503","14,461",6.12,39,619,219,17,60,"1,290"
6/26/16,"1,763","4,755",2.11,4,"1,283",36,8,23,346
6/27/16,"1,497",115,0.05,0,"1,432",8,0,0,23
6/28/16,"2,208","9,655",4.09,34,708,221,1,11,930
6/29/16,"1,493",48,0.02,0,"1,329",7,0,0,18
6/30/16,"1,482",21,0.01,0,"1,439",1,0,0,3
,,,,,,,,,
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,,,,
6/1/16,424,25,1,449,,,,,
6/2/16,436,21,1,457,,,,,
6/3/16,409,11,0,421,,,,,
6/4/16,572,21,1,594,,,,,
6/5/16,482,28,2,511,,,,,
6/6/16,0,0,0,0,,,,,
6/7/16,469,27,1,496,,,,,
6/8/16,446,19,0,465,,,,,
6/9/16,458,30,1,488,,,,,
6/10/16,301,23,1,324,,,,,
6/11/16,462,24,1,486,,,,,
6/12/16,537,25,1,562,,,,,
6/13/16,415,29,0,444,,,,,
6/14/16,439,37,1,476,,,,,
6/15/16,432,21,1,453,,,,,
6/16/16,329,16,0,345,,,,,
6/17/16,459,32,1,491,,,,,
6/18/16,582,19,2,601,,,,,
6/19/16,436,23,2,459,,,,,
6/20/16,0,0,0,0,,,,,
6/21/16,424,45,1,470,,,,,
6/22/16,428,9,0,437,,,,,
6/23/16,369,22,0,391,,,,,
6/24/16,0,0,0,0,,,,,
6/25/16,502,23,2,525,,,,,
6/26/16,77,13,0,90,,,,,
6/27/16,0,0,0,0,,,,,
6/28/16,479,20,1,499,,,,,
6/29/16,97,7,1,104,,,,,
6/30/16,0,0,0,0,,,,,
