Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
7/1/16,"2,837","19,365",8.58,46,600,283,21,64,"1,700"
7/2/16,"1,585",697,0.29,0,777,54,0,0,149
7/3/16,"1,668","2,094",0.89,4,846,72,0,0,248
7/4/16,"1,480",0,0,0,"1,440",0,0,0,0
7/5/16,"1,480",0,0,0,"1,440",0,0,0,0
7/6/16,"1,966","3,204",1.55,5,"1,360",33,4,43,560
7/7/16,"2,515","12,341",5.37,27,727,141,16,63,"1,197"
7/8/16,"2,398","12,849",5.44,44,704,243,15,26,"1,120"
7/9/16,"2,573","9,995",4.23,14,820,174,14,56,"1,269"
7/10/16,"2,064","7,863",3.33,73,739,122,24,20,689
7/11/16,"2,308","12,478",5.28,23,839,184,56,4,"1,013"
7/12/16,"2,409","12,482",5.93,56,746,142,5,48,"1,073"
7/13/16,"2,504","14,435",6.58,43,798,148,26,49,"1,177"
7/14/16,"2,800","18,696",7.95,62,588,246,44,61,"1,619"
7/15/16,"2,085","7,324",3.1,28,759,186,8,2,753
7/16/16,"2,517","11,076",5.54,27,673,171,0,54,"1,216"
7/17/16,"2,165","6,803",2.97,15,718,172,4,27,853
7/18/16,"2,534","13,773",6.61,44,734,155,13,58,"1,230"
7/19/16,"2,570","15,081",6.4,72,679,197,38,45,"1,298"
7/20/16,"2,133","8,105",3.43,24,911,157,7,14,746
7/21/16,"2,354","11,521",4.88,24,805,200,42,23,"1,056"
7/22/16,"2,478","9,744",4.12,30,553,310,8,15,"1,230"
7/23/16,"2,478","9,577",4.43,24,565,194,2,49,"1,166"
7/24/16,"2,670","13,814",5.91,24,579,274,11,49,"1,464"
7/25/16,"2,627","16,818",7.12,64,568,229,20,68,"1,416"
7/26/16,"2,856","16,365",6.97,50,461,236,57,72,"1,705"
7/27/16,"2,795","17,116",7.24,41,541,225,56,67,"1,612"
7/28/16,"2,311","10,673",4.52,28,634,190,12,39,"1,006"
7/29/16,"2,260","10,458",4.52,17,709,215,19,11,969
7/30/16,"2,008","6,631",2.81,61,696,137,29,4,661
7/31/16,"2,227","7,533",3.21,36,716,126,34,37,920
,,,,,,,,,
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,,,,
7/1/16,446,26,2,472,,,,,
7/2/16,587,22,1,609,,,,,
7/3/16,487,30,2,522,,,,,
7/4/16,0,0,0,0,,,,,
7/5/16,0,0,0,0,,,,,
7/6/16,0,0,0,0,,,,,
7/7/16,483,10,1,493,,,,,
7/8/16,426,26,2,452,,,,,
7/9/16,363,13,1,376,,,,,
7/10/16,506,28,1,535,,,,,
7/11/16,289,12,1,301,,,,,
7/12/16,506,48,2,554,,,,,
7/13/16,393,26,1,419,,,,,
7/14/16,438,31,2,469,,,,,
7/15/16,487,30,2,517,,,,,
7/16/16,510,32,0,542,,,,,
7/17/16,490,29,0,519,,,,,
7/18/16,457,23,0,480,,,,,
7/19/16,455,22,1,481,,,,,
7/20/16,339,12,1,351,,,,,
7/21/16,358,12,1,370,,,,,
7/22/16,527,27,1,554,,,,,
7/23/16,593,36,2,630,,,,,
7/24/16,481,44,2,527,,,,,
7/25/16,514,31,2,555,,,,,
7/26/16,578,36,2,614,,,,,
7/27/16,535,16,0,551,,,,,
7/28/16,515,48,1,565,,,,,
7/29/16,436,49,4,486,,,,,
7/30/16,556,18,0,574,,,,,
7/31/16,479,48,1,527,,,,,
