Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
8/1/16,"2,454","11,038",4.85,64,700,184,46,27,"1,175"
8/2/16,"2,918","18,750",9.02,54,609,202,21,78,"1,693"
8/3/16,"2,928","17,027",7.22,45,522,310,35,59,"1,806"
8/4/16,"2,354","10,711",4.53,23,663,168,36,35,"1,047"
8/5/16,"2,458","9,997",4.33,59,671,178,52,39,"1,185"
8/6/16,"2,865","18,760",8.46,89,630,241,19,95,"1,684"
8/7/16,"2,725","15,510",6.7,40,508,278,35,44,"1,502"
8/8/16,"2,199","4,919",2.08,10,658,170,4,27,882
8/9/16,"2,288","9,827",4.18,11,681,237,6,6,984
8/10/16,"3,040","16,091",7,20,583,185,34,117,"1,869"
8/11/16,"2,617","14,992",6.34,39,645,205,84,35,"1,425"
8/12/16,"3,214","19,867",8.47,74,498,358,69,73,"2,172"
8/13/16,"2,576","10,414",4.58,15,564,270,3,29,"1,286"
8/14/16,"2,640","14,042",6.14,45,828,148,16,95,"1,386"
8/15/16,"2,566","13,890",6.91,75,706,127,19,72,"1,262"
8/16/16,"2,207","9,100",3.85,15,700,220,3,9,912
8/17/16,"2,970","19,232",8.93,26,846,256,20,81,"1,780"
8/18/16,"2,547","13,711",5.9,20,647,230,27,39,"1,273"
8/19/16,"2,488","11,822",5.04,14,637,270,18,25,"1,246"
8/20/16,"3,063","20,887",8.88,22,543,302,53,82,"1,935"
8/21/16,"2,603","13,056",5.67,36,866,181,10,13,951
8/22/16,"2,342","8,886",3.76,12,677,217,2,33,"1,074"
8/23/16,"2,710","14,000",6.13,20,622,199,19,73,"1,497"
8/24/16,"2,215","9,606",4.09,22,683,188,7,18,914
8/25/16,"2,127","8,480",3.61,17,765,148,23,15,797
8/26/16,"2,110","8,330",3.52,37,737,202,2,17,804
8/27/16,"2,502","12,077",5.17,34,602,253,26,30,"1,277"
8/28/16,"2,799","20,587",8.73,105,621,194,104,57,"1,642"
8/29/16,"2,599","11,962",5.64,22,706,159,8,63,"1,322"
8/30/16,"2,661","16,108",7.63,51,745,200,4,59,"1,383"
8/31/16,"2,248","10,817",4.58,21,738,217,12,17,953
,,,,,,,,,
Sleep,,,,,,,,,
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,,Hours Asleep,,,
8/1/16,459,24,1,483,0.950310559,7.65,,,
8/2/16,493,37,1,530,0.930188679,8.216666667,,,
8/3/16,462,52,1,514,0.898832685,7.7,,,
8/4/16,500,37,1,538,0.92936803,8.333333333,,,
8/5/16,481,19,0,500,0.962,8.016666667,,,
8/6/16,431,24,1,455,0.947252747,7.183333333,,,
8/7/16,519,56,4,575,0.902608696,8.65,,,
8/8/16,558,21,0,581,0.960413081,9.3,,,
8/9/16,471,39,2,510,0.923529412,7.85,,,
8/10/16,459,62,5,521,0.880998081,7.65,,,
8/11/16,452,17,0,471,0.959660297,7.533333333,,,
8/12/16,406,35,1,442,0.918552036,6.766666667,,,
8/13/16,537,36,1,574,0.93554007,8.95,,,
8/14/16,312,41,3,353,0.883852691,5.2,,,
8/15/16,501,15,0,516,0.970930233,8.35,,,
8/16/16,437,23,2,460,0.95,7.283333333,,,
8/17/16,267,18,0,285,0.936842105,4.45,,,
8/18/16,466,31,0,497,0.937625755,7.766666667,,,
8/19/16,484,6,1,490,0.987755102,8.066666667,,,
8/20/16,430,21,0,451,0.953436807,7.166666667,,,
8/21/16,231,18,1,249,0.927710843,3.85,,,
8/22/16,576,30,0,609,0.945812808,9.6,,,
8/23/16,475,35,1,510,0.931372549,7.916666667,,,
8/24/16,517,15,0,532,0.971804511,8.616666667,,,
8/25/16,499,28,1,528,0.945075758,8.316666667,,,
8/26/16,472,32,1,504,0.936507937,7.866666667,,,
8/27/16,499,30,1,529,0.943289225,8.316666667,,,
8/28/16,429,35,2,464,0.924568966,7.15,,,
8/29/16,472,13,1,485,0.973195876,7.866666667,,,
8/30/16,432,19,2,451,0.957871397,7.2,,,
8/31/16,445,11,0,456,0.975877193,7.416666667,,,
